symbol,exchange,organ_name,industry
CTD,HSX,Công ty Cổ phần Xây dựng Coteccons,Xây dựng và Vật liệu
CTB,HNX,Công ty Cổ phần Chế tạo Bơm Hải Dương,Hàng & Dịch vụ Công nghiệp
CSV,HSX,Công ty Cổ phần Hóa chất Cơ bản miền Nam,Hóa chất
CST,HNX,Công ty Cổ phần Than Cao Sơn - TKV,Tài nguyên Cơ bản
CSM,HSX,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Ô tô và phụ tùng
CSC,HNX,Công ty Cổ phần Tập đoàn COTANA,Xây dựng và Vật liệu
CRE,HSX,Công ty Cổ phần Bất động sản Thế Kỷ,Bất động sản
CRC,HSX,Công ty Cổ phần Create Capital Việt Nam,Xây dựng và Vật liệu
CPC,HNX,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Hóa chất
COM,HSX,Công ty Cổ phần Vật tư Xăng dầu,Bán lẻ
CNG,HSX,Công ty Cổ phần CNG Việt Nam,"Điện, nước & xăng dầu khí đốt"
CMX,HSX,Công ty Cổ phần CAMIMEX Group,Thực phẩm và đồ uống
CMV,HSX,Công ty Cổ phần Thương nghiệp Cà Mau,Bán lẻ
CMS,HNX,Công ty Cổ phần Tập đoàn CMH Việt Nam,Xây dựng và Vật liệu
CMG,HSX,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ Thông tin
CMC,HNX,Công ty Cổ phần Đầu tư CMC,Hàng & Dịch vụ Công nghiệp
CLW,HSX,Công ty Cổ phần Cấp nước Chợ Lớn,"Điện, nước & xăng dầu khí đốt"
CLM,HNX,Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin,Tài nguyên Cơ bản
CLL,HSX,Công ty Cổ phần Cảng Cát Lái,Hàng & Dịch vụ Công nghiệp
CLH,HNX,Công ty Cổ phần Xi măng La Hiên VVMI,Xây dựng và Vật liệu
CLC,HSX,Công ty Cổ phần Cát Lợi,Hàng cá nhân & Gia dụng
CKV,HNX,Công ty Cổ phần CokyVina,Công nghệ Thông tin
CKG,HSX,Công ty Cổ phần Tập đoàn CIC,Bất động sản
CJC,HNX,Công ty Cổ phần Cơ điện Miền Trung,Hàng & Dịch vụ Công nghiệp
CII,HSX,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Xây dựng và Vật liệu
CIG,HSX,Công ty Cổ phần COMA 18,Xây dựng và Vật liệu
